metric,historico,controlado,novo,ganho_vs_historico_pct,ganho_vs_controlado_pct
Recall@5,0.06426839126919967,0.05853639177712517,0.05671085006746567,-11.759343983075418,-3.1186440677966116
MRR@5,0.029341821611425477,0.026330132021059955,0.025999417943223063,-11.391261634897639,-1.2560289389068515
NDCG@5,0.03788692043113994,0.03421250053218458,0.03352803590861457,-11.504985026290827,-2.000627293892527
Recall@10,0.11944219886822958,0.11707278355425034,0.10988967378363362,-7.99761321803398,-6.135593220338983
MRR@10,0.03642645417099734,0.03383908964808253,0.03287515260092448,-9.749237610122357,-2.8485903645243815
NDCG@10,0.05544627664138228,0.052837019350182916,0.0505015753128893,-8.918004288140985,-4.420090432836903
